Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.172,735.771,1.009,1028,6.782
bar,0.184,737.134,0.980,1048,12.147
bar,0.188,738.658,1.095,1075,11.235
bar,0.185,739.864,0.855,1048,12.147
bar,0.165,741.305,1.050,1040,nan
bar,0.200,742.609,0.926,1079,11.733
bar,0.180,744.030,1.024,1031,10.288
bar,0.177,745.169,0.783,1032,11.322
bar,0.184,746.654,1.073,1071,11.319
bar,0.181,748.093,1.035,1073,11.317
bar,0.164,749.475,1.010,1040,nan
bar,0.180,750.726,0.888,1056,9.678
bar,0.181,752.116,0.998,1031,11.757
bar,0.196,753.568,1.036,1070,11.320
bar,0.194,754.912,0.931,1071,11.319
bar,0.180,756.403,1.082,1071,9.673
bar,0.173,757.514,0.780,1040,nan
bar,0.186,758.927,1.012,1037,11.319
bar,0.191,760.282,0.986,1063,8.436
bar,0.175,761.701,1.037,1078,11.734
bar,0.180,763.049,0.955,1033,11.321
bar,0.178,764.338,0.918,1071,11.319
bar,0.174,765.829,1.085,1066,8.435
bar,0.163,767.191,1.007,1040,nan
bar,0.188,768.465,0.931,1042,11.596
bar,0.169,769.550,0.758,1040,nan
bar,0.204,770.985,1.015,1062,8.437
bar,0.188,772.527,1.118,1087,11.871
bar,0.177,773.824,0.928,1071,11.319
bar,0.176,775.176,0.967,1040,nan
bar,0.187,776.628,1.036,1031,9.396
bar,0.172,778.004,0.999,1040,nan
bar,0.158,779.219,0.895,1041,11.596
bar,0.179,780.530,0.929,1071,11.319
bar,0.192,782.008,1.047,1074,9.672
bar,0.207,783.467,1.028,1040,nan
bar,0.164,784.733,0.911,1071,11.319
bar,0.173,785.954,0.867,1048,12.147
bar,0.210,787.440,1.065,1088,5.213
bar,0.240,788.981,1.076,1073,7.469
bar,0.175,790.131,0.838,1037,11.319
bar,0.169,791.420,0.974,1040,nan
bar,0.185,792.765,0.987,1035,5.550
bar,0.190,794.173,1.000,1043,11.596
bar,0.198,795.540,0.961,1071,11.319
bar,0.163,796.767,0.889,1033,11.321
bar,0.168,798.230,1.065,1059,11.266
bar,0.181,799.631,1.018,1073,9.269
bar,0.184,800.792,0.814,1040,nan
bar,0.163,802.133,0.988,1071,11.319
bar,0.169,803.480,0.969,1071,11.319
bar,0.191,804.941,1.041,1083,10.489
bar,0.189,806.198,0.891,1071,11.319
bar,0.190,807.678,1.062,1071,11.319
bar,0.190,809.100,1.021,1040,nan
bar,0.179,810.368,0.897,1037,11.319
bar,0.171,811.710,0.955,1051,9.680
bar,0.153,813.074,1.001,1068,5.129
bar,0.170,814.538,1.068,1144,11.733
bar,0.188,815.929,0.988,1040,nan
bar,0.167,817.126,0.852,1043,8.849
bar,0.203,818.454,0.930,1037,11.319
bar,0.182,819.871,1.022,1067,7.406
bar,0.161,821.100,0.877,1037,11.319
bar,0.178,822.508,1.010,1035,5.550
bar,0.182,823.930,1.014,1040,nan
bar,0.161,825.283,1.018,1037,11.319
bar,0.180,826.488,0.854,1040,nan
bar,0.178,827.839,0.952,1057,9.862
bar,0.177,829.107,0.906,1042,8.431
bar,0.171,830.476,0.982,1040,nan
bar,0.186,831.885,1.012,1040,nan
bar,0.187,833.278,0.992,1037,11.319
bar,0.182,834.700,1.024,1040,nan
bar,0.192,835.910,0.847,1055,9.678
bar,0.156,837.187,0.922,1040,nan
bar,0.159,838.640,1.068,1056,12.147
bar,0.200,840.061,1.005,1105,nan
bar,0.199,841.515,1.034,1035,5.550
bar,0.173,842.744,0.871,1076,11.735
bar,0.167,844.208,1.061,1079,11.733
bar,0.179,845.659,1.040,1070,11.320
bar,0.181,847.015,0.965,1040,11.330
bar,0.180,848.330,0.959,1059,6.396
bar,0.177,849.758,1.030,1040,nan
bar,0.189,851.227,1.062,1067,11.319
bar,0.156,852.557,0.972,1071,11.319
bar,0.190,853.920,0.976,1089,8.423
bar,0.163,855.364,1.056,1071,11.319
